Runs,Initial Sample,Query Sample,Pair,Error on materialized,Error on lattice,Prediction
109,0,0.1,0.9,"('EV', 'HA')",0.0,0.0,0.3333333333333333
110,0,0.1,1.0,"('VX', 'NK')",0.0,0.0,0.4
111,0,0.1,1.0,"('AA', 'WN')",0.0,0.275,0.875
112,0,0.1,1.0,"('AA', 'NK')",0.0,0.07499999999999996,0.875
113,0,0.1,1.0,"('AA', 'HA')",0.0,0.09523809523809523,0.3333333333333333
114,0,0.1,1.0,"('B6', 'AS')",0.0,0.0,0.3333333333333333
115,0,0.1,1.0,"('DL', 'MQ')",0.0,0.11904761904761904,0.16666666666666666
116,0,0.1,1.0,"('DL', 'NK')",0.0,0.06944444444444442,0.375
117,0,0.1,1.0,"('DL', 'OO')",0.0,0.19047619047619047,0.14285714285714285
118,0,0.1,1.0,"('UA', 'HA')",0.0,0.0,0.5
119,0,0.1,1.0,"('UA', 'AS')",0.0,0.01785714285714285,0.14285714285714285
120,0,0.1,1.0,"('WN', 'NK')",0.0,0.08333333333333331,0.25
121,0,0.1,1.0,"('WN', 'AS')",0.0,0.06944444444444442,0.375
122,0,0.1,1.0,"('US', 'EV')",0.0,0.0,0.16666666666666666
123,0,0.1,1.0,"('NK', 'AS')",0.0,0.0,0.2
124,0,0.2,0.1,"('VX', 'AA')",0.0,0.0,0.375
125,0,0.2,0.1,"('VX', 'UA')",0.0,0.09722222222222221,0.125
126,0,0.2,0.1,"('VX', 'HA')",0.0,0.0,0.2
127,0,0.2,0.1,"('AA', 'UA')",0.0,0.022727272727272707,0.25
128,0,0.2,0.1,"('AA', 'US')",0.0,0.09722222222222221,0.125
129,0,0.2,0.1,"('AA', 'NK')",0.0,0.175,0.125
130,0,0.2,0.1,"('F9', 'DL')",0.0,0.09722222222222221,0.125
131,0,0.2,0.1,"('B6', 'AS')",0.0,0.0,0.3333333333333333
132,0,0.2,0.1,"('DL', 'UA')",0.0,0.15000000000000002,0.25
133,0,0.2,0.1,"('DL', 'WN')",0.0,0.175,0.125
134,0,0.2,0.1,"('DL', 'NK')",0.0,0.06944444444444442,0.375
135,0,0.2,0.1,"('UA', 'US')",0.0,0.125,0.375
136,0,0.2,0.1,"('WN', 'NK')",0.0,0.08333333333333331,0.25
137,0,0.2,0.1,"('WN', 'AS')",0.0,0.06944444444444442,0.375
138,0,0.2,0.1,"('MQ', 'HA')",0.0,0.0,0.5
139,0,0.2,0.1,"('MQ', 'OO')",0.0,0.0,0.14285714285714285
140,0,0.2,0.1,"('NK', 'OO')",0.0,0.0,0.16666666666666666
141,0,0.2,0.1,"('EV', 'HA')",0.0,0.0,0.3333333333333333
142,0,0.2,0.2,"('AA', 'F9')",0.0,0.07142857142857145,0.42857142857142855
143,0,0.2,0.2,"('AA', 'WN')",0.0,0.04999999999999999,0.25
144,0,0.2,0.2,"('AA', 'US')",0.0,0.09722222222222221,0.125
145,0,0.2,0.2,"('F9', 'B6')",0.0,0.0,0.42857142857142855
146,0,0.2,0.2,"('B6', 'HA')",0.0,0.0,0.2
147,0,0.2,0.2,"('B6', 'AS')",0.0,0.0,0.3333333333333333
148,0,0.2,0.2,"('DL', 'MQ')",0.0,0.11904761904761904,0.16666666666666666
149,0,0.2,0.2,"('DL', 'NK')",0.0,0.06944444444444442,0.375
150,0,0.2,0.2,"('DL', 'HA')",0.0,0.0,0.3333333333333333
151,0,0.2,0.2,"('UA', 'US')",0.0,0.125,0.375
152,0,0.2,0.2,"('UA', 'EV')",0.0,0.023809523809523808,0.16666666666666666
153,0,0.2,0.2,"('UA', 'OO')",0.0,0.11904761904761904,0.16666666666666666
154,0,0.2,0.2,"('WN', 'NK')",0.0,0.08333333333333331,0.25
155,0,0.2,0.2,"('WN', 'AS')",0.0,0.06944444444444442,0.375
156,0,0.2,0.2,"('MQ', 'AS')",0.0,0.0,0.25
157,0,0.2,0.2,"('NK', 'HA')",0.0,0.0,0.4
158,0,0.2,0.2,"('NK', 'OO')",0.0,0.0,0.16666666666666666
159,0,0.2,0.2,"('NK', 'AS')",0.0,0.0,0.2
160,0,0.2,0.2,"('HA', 'OO')",0.0,0.0714285714285714,0.5
161,0,0.2,0.3,"('VX', 'UA')",0.0,0.09722222222222221,0.125
162,0,0.2,0.3,"('VX', 'NK')",0.0,0.0,0.6
163,0,0.2,0.3,"('VX', 'OO')",0.0,0.0,0.16666666666666666
164,0,0.2,0.3,"('AA', 'UA')",0.0,0.022727272727272707,0.25
165,0,0.2,0.3,"('DL', 'HA')",0.0,0.0,0.3333333333333333
166,0,0.2,0.3,"('UA', 'EV')",0.0,0.023809523809523808,0.16666666666666666
167,0,0.2,0.3,"('UA', 'HA')",0.0,0.0,0.5
168,0,0.2,0.3,"('WN', 'NK')",0.0,0.08333333333333331,0.25
169,0,0.2,0.3,"('WN', 'HA')",0.0,0.20833333333333334,0.16666666666666666
170,0,0.2,0.3,"('WN', 'OO')",0.0,0.01785714285714285,0.14285714285714285
171,0,0.2,0.3,"('WN', 'AS')",0.0,0.06944444444444442,0.375
172,0,0.2,0.3,"('US', 'NK')",0.0,0.0,0.14285714285714285
173,0,0.2,0.3,"('US', 'AS')",0.0,0.02777777777777779,0.25
174,0,0.2,0.3,"('MQ', 'HA')",0.0,0.0,0.5
175,0,0.2,0.3,"('NK', 'AS')",0.0,0.0,0.2
176,0,0.2,0.3,"('EV', 'OO')",0.0,0.0357142857142857,0.2857142857142857
177,0,0.2,0.4,"('AA', 'US')",0.0,0.09722222222222221,0.125
178,0,0.2,0.4,"('F9', 'NK')",0.0,0.0,0.2857142857142857
179,0,0.2,0.4,"('F9', 'HA')",0.0,0.0,0.6
180,0,0.2,0.4,"('B6', 'DL')",0.0,0.0,0.125
181,0,0.2,0.4,"('B6', 'HA')",0.0,0.0,0.2
182,0,0.2,0.4,"('B6', 'AS')",0.0,0.0,0.3333333333333333
183,0,0.2,0.4,"('DL', 'MQ')",0.0,0.11904761904761904,0.16666666666666666
184,0,0.2,0.4,"('UA', 'US')",0.0,0.125,0.375
185,0,0.2,0.4,"('UA', 'EV')",0.0,0.023809523809523808,0.16666666666666666
186,0,0.2,0.4,"('UA', 'HA')",0.0,0.0,0.5
187,0,0.2,0.4,"('UA', 'AS')",0.0,0.01785714285714285,0.14285714285714285
188,0,0.2,0.4,"('WN', 'US')",0.0,0.06944444444444442,0.375
189,0,0.2,0.4,"('WN', 'HA')",0.0,0.20833333333333334,0.16666666666666666
190,0,0.2,0.4,"('WN', 'AS')",0.0,0.06944444444444442,0.375
191,0,0.2,0.4,"('US', 'MQ')",0.0,0.06666666666666671,0.4
192,0,0.2,0.4,"('US', 'NK')",0.0,0.0,0.14285714285714285
193,0,0.2,0.4,"('MQ', 'HA')",0.0,0.0,0.5
194,0,0.2,0.4,"('MQ', 'AS')",0.0,0.0,0.25
195,0,0.2,0.4,"('NK', 'HA')",0.0,0.0,0.4
196,0,0.2,0.5,"('VX', 'HA')",0.0,0.0,0.2
197,0,0.2,0.5,"('AA', 'DL')",0.0,0.07500000000000001,0.125
198,0,0.2,0.5,"('AA', 'WN')",0.0,0.04999999999999999,0.25
199,0,0.2,0.5,"('B6', 'US')",0.0,0.0,0.25
200,0,0.2,0.5,"('B6', 'EV')",0.0,0.05357142857142855,0.42857142857142855
201,0,0.2,0.5,"('B6', 'HA')",0.0,0.0,0.2
202,0,0.2,0.5,"('DL', 'UA')",0.0,0.15000000000000002,0.25
203,0,0.2,0.5,"('DL', 'MQ')",0.0,0.11904761904761904,0.16666666666666666
204,0,0.2,0.5,"('DL', 'EV')",0.0,0.10714285714285715,0.14285714285714285
205,0,0.2,0.5,"('UA', 'US')",0.0,0.125,0.375
206,0,0.2,0.5,"('UA', 'MQ')",0.0,0.0,0.16666666666666666
207,0,0.2,0.5,"('UA', 'HA')",0.0,0.0,0.5
208,0,0.2,0.5,"('UA', 'OO')",0.0,0.11904761904761904,0.16666666666666666
209,0,0.2,0.5,"('UA', 'AS')",0.0,0.01785714285714285,0.14285714285714285
210,0,0.2,0.5,"('WN', 'NK')",0.0,0.08333333333333331,0.25
211,0,0.2,0.5,"('WN', 'EV')",0.0,0.02777777777777779,0.25
212,0,0.2,0.5,"('US', 'OO')",0.0,0.0,0.3333333333333333
213,0,0.2,0.5,"('NK', 'HA')",0.0,0.0,0.4
214,0,0.2,0.5,"('EV', 'HA')",0.0,0.0,0.3333333333333333
215,0,0.2,0.5,"('HA', 'OO')",0.0,0.0714285714285714,0.5
216,0,0.2,0.6,"('VX', 'AA')",0.0,0.0,0.375
217,0,0.2,0.6,"('VX', 'HA')",0.0,0.0,0.2
218,0,0.2,0.6,"('AA', 'US')",0.0,0.09722222222222221,0.125
219,0,0.2,0.6,"('F9', 'B6')",0.0,0.0,0.2857142857142857
