,Runs,Initial Sample,Query Sample,Pair,Error on materialized,Error on lattice,Prediction
136,0,0.2,0.1,"('F9', 'UA')",0.25,0.25,1.0
137,0,0.2,0.1,"('B6', 'OO')",0.42857142857142855,0.5,0.0
138,0,0.2,0.1,"('B6', 'AS')",0.16666666666666663,0.16666666666666663,1.0
139,0,0.2,0.1,"('DL', 'UA')",0.19999999999999996,0.19999999999999996,1.0
140,0,0.2,0.1,"('UA', 'US')",0.3333333333333333,0.4,0.0
141,0,0.2,0.1,"('UA', 'OO')",0.16666666666666663,0.1428571428571429,1.0
142,0,0.2,0.1,"('UA', 'AS')",0.2857142857142857,0.375,1.0
143,0,0.2,0.1,"('NK', 'EV')",0.16666666666666663,0.16666666666666663,1.0
144,0,0.2,0.1,"('NK', 'HA')",0.19999999999999996,0.19999999999999996,1.0
145,0,0.2,0.1,"('NK', 'OO')",0.16666666666666666,0.16666666666666666,0.0
146,0,0.2,0.1,"('NK', 'AS')",0.4,0.4,1.0
147,0,0.2,0.2,"('VX', 'UA')",0.375,0.2777777777777778,0.5
148,0,0.2,0.2,"('VX', 'US')",0.33333333333333337,0.33333333333333337,0.5
149,0,0.2,0.2,"('VX', 'NK')",0.09999999999999998,0.09999999999999998,0.5
150,0,0.2,0.2,"('VX', 'OO')",0.16666666666666669,0.16666666666666669,0.5
151,0,0.2,0.2,"('AA', 'DL')",0.3888888888888889,0.4,0.5
152,0,0.2,0.2,"('AA', 'UA')",0.2222222222222222,0.36363636363636365,1.0
153,0,0.2,0.2,"('AA', 'AS')",0.375,0.2777777777777778,0.5
154,0,0.2,0.2,"('B6', 'US')",0.25,0.25,0.5
155,0,0.2,0.2,"('B6', 'NK')",0.125,0.125,1.0
156,0,0.2,0.2,"('B6', 'EV')",0.07142857142857145,0.125,0.5
157,0,0.2,0.2,"('B6', 'HA')",0.3,0.3,0.5
158,0,0.2,0.2,"('DL', 'UA')",0.19999999999999996,0.19999999999999996,1.0
159,0,0.2,0.2,"('DL', 'WN')",0.2222222222222222,0.4,1.0
160,0,0.2,0.2,"('DL', 'OO')",0.1428571428571429,0.2222222222222222,1.0
161,0,0.2,0.2,"('UA', 'WN')",0.3888888888888889,0.2,0.5
162,0,0.2,0.2,"('UA', 'US')",0.16666666666666669,0.09999999999999998,0.5
163,0,0.2,0.2,"('UA', 'OO')",0.16666666666666663,0.1428571428571429,1.0
164,0,0.2,0.2,"('WN', 'HA')",0.2857142857142857,0.25,1.0
